director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genre_1,genre_2,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes,profit,return_on_investment
David Fincher,216,127,21000,360,Brad Pitt,11000,100125340,Crime,Mystery,Morgan Freeman,Se7en ,1023511,22678,Reg E. Cathey,0,detective|police partner|serial killer|serial murder|seven deadly sins,1080,USA,R,33000000,1995,11000,8.6,39000,67125340,203.41012121212123
Neill Blomkamp,472,112,662,107,Jed Brophy,2000,115646235,Action,Thriller,Sharlto Copley,District 9 ,531737,2639,Jason Cope,0,alien|ghetto|prawn|refugee|refugee camp,1262,Others,R,30000000,2009,433,8,22000,85646235,285.48745
Stephen Hillenburg,89,87,47,217,Bill Fagerbakke,19000,85416609,Adventure,Comedy,Scarlett Johansson,The SpongeBob SquarePants Movie ,58906,20097,Rodger Bumpass,0,based on tv series|crown|dream|king neptune|plankton,186,USA,PG,30000000,2004,542,7,0,55416609,184.72203000000002
Clint Eastwood,229,138,16000,262,Spencer Treat Clark,616,90135191,Crime,Mystery,John Doman,Mystic River ,338415,1942,Tom Guiry,0,ballistics|detective|friend|gun|sexual abuse,935,USA,R,25000000,2003,541,8,12000,65135191,260.540764
Clint Eastwood,268,132,16000,567,Morgan Freeman,16000,100422786,Drama,NA,Clint Eastwood,Million Dollar Baby ,482064,28830,Mike Colter,1,boxing|boxing trainer|death|suicide attempt|women boxing,1106,USA,PG-13,30000000,2004,11000,8.1,14000,70422786,234.74262000000002
Harold Ramis,145,103,11000,636,Chazz Palminteri,22000,106694016,Comedy,NA,Robert De Niro,Analyze This ,123940,24333,Molly Shannon,2,analyst|mafia|patient|psychiatrist|wedding,337,USA,R,30000000,1999,979,6.7,0,76694016,255.64672000000002
Nick Cassavetes,177,123,415,545,Kevin Connolly,33000,64286,Drama,NA,Ryan Gosling,The Notebook ,396396,34495,Gena Rowlands,0,class differences|letter|nursing home|second chance|summer love,1111,USA,PG-13,29000000,2004,638,7.9,57000,-28935714,-99.77832413793102
Anne Fletcher,175,111,98,71,Bern Cohen,2000,76806312,Comedy,NA,Judy Greer,27 Dresses ,124501,2978,Yetta Gottesman,1,boss|bridesmaid|friend|love|wedding,154,USA,PG-13,30000000,2008,805,6.1,0,46806312,156.02104
Peter Chelsom,131,102,23,635,Vanessa Williams,1000,79566871,Comedy,Family,Emily Osment,Hannah Montana: The Movie ,31760,4516,Moises Arias,2,farm|female protagonist|hannah montana|horseback riding|overalls,140,USA,G,30000000,2009,1000,4.2,0,49566871,165.22290333333333
Stig Bergqvist,41,78,0,786,Casey Kasem,971,76501438,Adventure,Comedy,Elizabeth Daily,Rugrats in Paris: The Movie ,8146,4527,Debbie Reynolds,0,amusement park|baby|france|paris france|villain,49,Others,G,30000000,2000,844,6.1,181,46501438,155.0047933333333
Barbra Streisand,30,132,0,252,Blythe Danner,769,74787599,Drama,NA,George Carlin,The Prince of Tides ,12549,1936,Melinda Dillon,1,new york|psychiatrist|shrimper|south carolina|twins,109,USA,R,30000000,1991,713,6.6,883,44787599,149.29199666666665
Edward Zwick,57,133,380,918,Brad Pitt,12000,66528842,Drama,War,Anthony Hopkins,Legends of the Fall ,112175,26388,Julia Ormond,2,epic|heart|killing an animal|passion|usa,329,USA,R,30000000,1994,11000,7.5,11000,36528842,121.76280666666666
Jason Reitman,391,108,655,940,Anna Kendrick,24000,83813460,Drama,NA,J.K. Simmons,Up in the Air ,270238,35209,Chris Lowell,0,airport|business trip|downsizing|on the road|travel,452,USA,R,25000000,2009,10000,7.4,19000,58813460,235.25383999999997
Alexander Payne,217,125,729,322,June Squibb,442,65010106,Comedy,NA,Hope Davis,About Schmidt ,107557,1556,Howard Hesseman,1,highway travel|on the road|retirement|road movie|wedding,612,USA,R,30000000,2002,344,7.2,0,35010106,116.70035333333333
Jonathan Levine,452,98,129,7,Vincent Leclerc,303,66359959,Comedy,Romance,Cory Hardrict,Warm Bodies ,184641,337,Daniel Rindress-Kay,0,fight|memory|teenager|undead|zombie,326,USA,PG-13,35000000,2013,18,6.9,81000,31359959,89.59988285714286
Rian Johnson,589,119,0,502,Bruce Willis,23000,66468315,Action,Drama,Joseph Gordon-Levitt,Looper ,428916,37387,Tracie Thoms,0,chase|future|surprise ending|time loop|time travel,667,USA,R,30000000,2012,13000,7.4,75000,36468315,121.56105
Chris Weitz,61,87,129,560,Mark Addy,979,64172251,Comedy,NA,Chazz Palminteri,Down to Earth ,19079,2911,Wanda Sykes,1,angel|butler|heaven|manhattan new york city|reincarnation,122,USA,PG-13,30000000,2001,891,5.4,602,34172251,113.90750333333332
Chris Noonan,79,91,108,204,Christine Cavanaugh,405,66600000,Comedy,Family,Miriam Margolyes,Babe ,94435,1185,Roscoe Lee Browne,0,dog|farmer|pig|sheep|sheepdog,182,Others,G,30000000,1995,368,6.8,5000,36600000,122
David Frankel,234,100,64,329,Steve Carell,11000,63536011,Comedy,Romance,Meryl Streep,Hope Springs ,34258,19420,Jean Smart,2,couple|intimacy|marriage|marriage counseling|middle age couple,178,USA,PG-13,30000000,2012,7000,6.3,0,33536011,111.78670333333334
Nicholas Stoller,253,118,89,344,Jack McBrayer,15000,62877175,Comedy,Romance,Mila Kunis,Forgetting Sarah Marshall ,217507,16758,Maria Thayer,1,breakup|hawaii|hotel|male full frontal nudity|resort,325,USA,R,30000000,2008,975,7.2,0,32877175,109.59058333333334
John Singleton,123,109,309,482,Tony Nappo,1000,74484168,Action,Drama,Josh Charles,Four Brothers ,109894,2740,Fionnula Flanagan,3,bare butt|corrupt police|four brothers|funeral|murder,340,USA,R,45000000,2005,654,6.9,0,29484168,65.52037333333334
Michael McCullers,145,99,5,966,Amy Poehler,2000,60269340,Comedy,NA,Tina Fey,Baby Mama ,34079,6930,Romany Malco,2,baby|book|cartoon on tv|female protagonist|male anorexia,97,USA,PG-13,30000000,2008,1000,6,0,30269340,100.89779999999999
Forest Whitaker,65,114,0,545,Harry Connick Jr.,970,60033780,Drama,NA,Bill Cobbs,Hope Floats ,18973,2860,Gena Rowlands,1,best friend|friend|mother daughter relationship|small town|texas,162,USA,PG-13,30000000,1998,631,5.9,0,30033780,100.1126
Gary Winick,152,89,56,545,Steve Howey,11000,58715510,Comedy,NA,Anne Hathaway,Bride Wars ,79094,13794,Candice Bergen,2,best friend|dyed hair|fake tan|rivalry|wedding,129,USA,PG,30000000,2009,826,5.4,0,28715510,95.71836666666667
Steven Brill,94,95,65,246,Scott Adsit,506,58156435,Adventure,Mystery,Antony Starr,Without a Paddle ,37479,1266,Bonnie Somerville,3,death|friend|hijacker|river|tree house,152,USA,PG-13,19000000,2004,316,5.9,0,39156435,206.08650000000003
Gary Winick,119,98,56,533,Judy Greer,3000,56044241,Comedy,Romance,Jennifer Garner,13 Going on 30 ,122187,6742,Christa B. Allen,1,13 year old|13th birthday|30 year old|wish|year 1987,339,USA,PG-13,37000000,2004,2000,6.1,0,19044241,51.47092162162162
Woody Allen,487,94,11000,183,Audrey Fleurot,617,56816662,Comedy,Romance,Kurt Fuller,Midnight in Paris ,301149,1289,Nina Arianda,1,1920s|golden age|midnight|paris france|time travel romance,509,Others,PG-13,17000000,2011,204,7.7,78000,39816662,234.2156588235294
Peter Lepeniotis,121,85,7,691,Brendan Fraser,14000,64238770,Adventure,Comedy,Liam Neeson,The Nut Job ,19547,18795,Sarah Gadon,0,bank robbery|heist|raccoon|rat|squirrel,64,Others,PG,42000000,2014,3000,5.8,0,22238770,52.94945238095238
Ted Demme,147,124,47,877,Ethan Suplee,40000,52937130,Biography,Drama,Johnny Depp,Blow ,198066,43453,Jordi Mollà,1,1960s|1970s|california|cocaine|wealth,426,USA,R,30000000,2001,1000,7.6,13000,22937130,76.4571
Luis Mandoki,85,131,43,362,John Savage,18000,52799004,Drama,NA,Robin Wright,Message in a Bottle ,28942,19815,Raphael Sbarge,0,beach|bottle|jogging|letter|love,223,USA,PG-13,55000000,1999,652,6.1,0,-2200996,-4.001810909090909
William Shatner,98,107,0,643,Nichelle Nichols,12000,55210049,Action,Sci-Fi,Leonard Nimoy,Star Trek V: The Final Frontier ,43743,14710,Walter Koenig,1,captain|half brother|klingon|planet|vulcan,293,USA,PG,27800000,1989,664,5.4,0,27410049,98.59729856115108
John Schultz,39,99,13,837,Robert Forster,1000,51432423,Comedy,Fantasy,Brenda Song,Like Mike ,15074,3679,Anne Meara,7,basketball|lightning|nba|orphanage|shoe,72,USA,PG,30000000,2002,889,5.1,1000,21432423,71.44141
Peter Segal,43,83,88,348,Fred Ward,3000,51109400,Comedy,NA,George Kennedy,Naked Gun 33 1/3: The Final Insult ,76850,4767,Priscilla Presley,5,retirement|spoof|terrorist|transsexual|undercover,85,USA,PG-13,30000000,1994,459,6.4,1000,21109400,70.36466666666666
John Glen,108,131,46,433,Alison Doody,1000,50300000,Action,Thriller,Patrick Macnee,A View to a Kill ,68565,2943,Tanya Roberts,2,computer|earthquake|microchip|official james bond series|silicon valley,300,Others,PG,30000000,1985,439,6.3,0,20300000,67.66666666666666
Steve Box,209,85,9,100,Geraldine McEwan,567,56068547,Animation,Family,Mark Gatiss,The Curse of the Were-Rabbit ,98160,1145,Peter Sallis,0,competition|giant vegetable|pest control|stop motion animation|vegetable,307,Others,G,30000000,2005,269,7.5,0,26068547,86.89515666666667
Richard LaGravenese,131,126,98,37,Harry Connick Jr.,18000,53680848,Drama,NA,Gerard Butler,P.S. I Love You ,167967,18726,Nellie McKay,1,birthday|friendship|hairy chest|letter|widow,243,USA,PG-13,30000000,2007,631,7.1,20000,23680848,78.93616
Joe Wright,316,123,456,286,Alfie Allen,19000,50921738,Drama,Romance,Benedict Cumberbatch,Atonement ,192930,20499,Brenda Blethyn,1,death of sister|dying|loss of virginity|septicemia|sex,581,Others,R,30000000,2007,1000,7.8,12000,20921738,69.73912666666666
Gary Winick,159,105,56,22,Marcia DeBonis,898,53021560,Comedy,Romance,Vanessa Redgrave,Letters to Juliet ,74630,1026,Luisa Ranieri,1,chick flick|female protagonist|italian stereotype|man in a swimsuit|verona italy,156,USA,PG,30000000,2010,60,6.5,13000,23021560,76.73853333333334
Ridley Scott,63,125,0,237,Ken Takakura,939,45645204,Action,Thriller,Stephen Root,Black Rain ,39306,1748,Kate Capshaw,2,counterfeit|detective|japan|police chase|yakuza,119,USA,R,30000000,1989,255,6.6,0,15645204,52.15068000000001
Tim Burton,267,77,13000,973,Christopher Lee,40000,53337608,Animation,Family,Johnny Depp,Corpse Bride ,188785,60683,Joanna Lumley,1,arranged marriage|bride|corpse|groom|woods,467,USA,PG,40000000,2005,16000,7.4,0,13337608,33.34402
Denis Villeneuve,478,121,777,219,Bernardo Saracino,455,46875468,Action,Drama,Edgar Arreola,Sicario ,196217,1467,Daniel Kaluuya,2,critically acclaimed|drug cartel|juarez mexico|u.s. mexico border|war on drugs,461,USA,R,30000000,2015,221,7.6,59000,16875468,56.25156
Antoine Fuqua,305,124,845,424,50 Cent,15000,52418902,Drama,NA,Jake Gyllenhaal,Southpaw ,147128,16881,Oona Laurence,0,boxer|boxing training|death of wife|male in shower|rage,277,USA,R,30000000,2015,1000,7.5,44000,22418902,74.72967333333334
Sam Raimi,397,99,0,828,Alison Lohman,2000,42057340,Horror,NA,Bojana Novakovic,Drag Me to Hell ,158354,5642,Reggie Lee,0,evil|fight|hell|psychic|psychologist,691,USA,PG-13,30000000,2009,1000,6.6,11000,12057340,40.19113333333333
Lee Toland Krieger,214,112,43,1000,Michiel Huisman,11000,42478175,Drama,Romance,Harrison Ford,The Age of Adaline ,93767,15327,Ellen Burstyn,1,hit by a pickup truck|immortality|paramedic|resuscitation|san francisco california,209,USA,PG-13,25000000,2015,2000,7.2,34000,17478175,69.9127
Tim McCanlies,82,111,23,1000,Robert Duvall,3000,41407470,Comedy,Family,Haley Joel Osment,Secondhand Lions ,43378,9638,Emmanuelle Vaugier,1,africa|eyeglasses|money|texas|veteran,292,USA,PG,30000000,2003,3000,7.6,0,11407470,38.0249
Jon M. Chu,138,107,209,357,Stephen Boss,2000,42385520,Drama,Romance,Alyson Stoner,Step Up 3D ,47297,4059,Facundo Lombard,0,dance|dance crew|dancer|mortgage|new york city,86,USA,PG-13,30000000,2010,594,6.2,16000,12385520,41.285066666666665
John Stockwell,69,104,134,64,Mika Boorem,585,40118420,Drama,Sport,Faizon Love,Blue Crush ,26066,1165,Sanoe Lake,3,bikini|female surfer|sister sister relationship|surfing contest|swimsuit,216,USA,PG-13,30000000,2002,495,5.6,0,10118420,33.72806666666667
Marc Forster,253,113,395,77,Christian Stolte,8000,40137776,Comedy,Fantasy,Will Ferrell,Stranger Than Fiction ,186977,8362,Danny Rhodes,1,author|fate|novelist|professor|writer,529,USA,PG-13,38000000,2006,189,7.6,13000,2137776,5.625726315789473
David Slade,304,113,171,63,Mark Rendall,430,39568996,Horror,NA,Danny Huston,30 Days of Night ,138435,814,Megan Franich,0,alaska|small town|snow|vampire|winter,527,USA,R,32000000,2007,72,6.6,0,7568996,23.653112500000002
Drew Goddard,634,95,246,751,Bradley Whitford,26000,42043633,Fantasy,Mystery,Chris Hemsworth,The Cabin in the Woods ,277172,29551,Kristen Connolly,0,cabin in the woods|dark humor|hatchet|killed in an elevator|robot,986,USA,R,30000000,2012,821,7,66000,12043633,40.14544333333333
Jason Friedberg,111,86,82,362,Diedrich Bader,869,38232624,Comedy,NA,Carmen Electra,Meet the Spartans ,88518,3854,Method Man,0,king|persian|spartan|training|xerxes,409,USA,PG-13,30000000,2008,759,2.7,0,8232624,27.44208
Martin Brest,77,126,102,497,Yaphet Kotto,22000,38413606,Action,Crime,Robert De Niro,Midnight Run ,54042,23866,Philip Baker Hall,1,accountant|bounty hunter|fbi|mafia|mob,215,USA,R,30000000,1988,581,7.6,0,8413606,28.045353333333335
Paul Michael Glaser,120,101,343,384,Maria Conchita Alonso,581,38122105,Action,Sci-Fi,Yaphet Kotto,The Running Man ,112669,2373,Richard Dawson,1,game of death|government conspiracy|latina|oppression|police,226,USA,R,27000000,1987,571,6.6,0,11122105,41.19298148148148
Frank Oz,63,102,0,413,Jim Belushi,13000,38747385,Comedy,Musical,Bill Murray,Little Shop of Horrors ,49349,15308,Tisha Campbell-Martin,2,eclipse|florist|nerd|plant|shop,165,USA,PG-13,25000000,1986,854,6.9,0,13747385,54.989540000000005
Joe Wright,417,111,456,21,Vicky Krieps,157,40247512,Action,Thriller,Jessica Barden,Hanna ,159198,257,John Macmillan,0,assassin|female warrior|martial arts|playground|training,438,USA,PG-13,30000000,2011,33,6.8,38000,10247512,34.15837333333333
John R. Leonetti,59,95,40,342,Talisa Soto,663,35927406,Action,Fantasy,Brian Thompson,Mortal Kombat: Annihilation ,36363,2266,Robin Shou,0,alternate reality|battle|martial arts|mortal kombat|warrior,256,USA,PG-13,30000000,1997,349,3.7,1000,5927406,19.758020000000002
Tom Hanks,218,98,15000,392,Rob Riggle,15000,35565975,Comedy,Romance,Tom Hanks,Larry Crowne ,49205,16827,Randall Park,0,bus stop|college|community college|scooter|speech class,184,USA,PG-13,30000000,2011,839,6.1,0,5565975,18.55325
Kimberly Peirce,359,100,108,534,Judy Greer,17000,35266619,Drama,Horror,Chloë Grace Moretz,Carrie ,108242,20051,Portia Doubleday,1,outcast|prom|self injury|telekinesis|tragic event,371,USA,R,30000000,2013,2000,5.9,39000,5266619,17.555396666666667
Liz Friedlander,101,118,3,439,Yaya DaCosta,1000,34703228,Drama,NA,Alfre Woodard,Take the Lead ,21767,3797,Jasika Nicole,0,ballroom|dance|dance teacher|student|teacher,127,USA,PG-13,30000000,2006,712,6.7,0,4703228,15.677426666666666
Phil Joanou,85,125,21,581,Jurnee Smollett-Bell,12000,38432823,Crime,Sport,Dwayne Johnson,Gridiron Gang ,33067,15811,Kevin Dunn,1,alliterative title|football|football coach|football practice|football team,134,USA,PG-13,30000000,2006,2000,6.9,0,8432823,28.10941
Sam Weisman,64,94,39,506,Larry Miller,1000,32095318,Comedy,NA,Bernie Mac,What's the Worst That Could Happen? ,12466,3664,Richard Schiff,0,businessman|ring|thief|vulgarity|washington d.c.,84,USA,PG-13,45000000,2001,611,5.5,304,-12904682,-28.677071111111115
Shane Acker,263,79,30,265,Alan Oppenheimer,940,31743332,Action,Animation,Martin Landau,9 ,111117,1594,Tom Kane,0,hope|key|machine|number|rag doll,245,USA,PG-13,30000000,2009,271,7.1,13000,1743332,5.811106666666667
Steven Soderbergh,450,106,0,273,David Costabile,17000,32154410,Crime,Thriller,Channing Tatum,Side Effects ,148327,18469,Katie Lowes,0,clinical trial|female protagonist|neuropharmacology|psychiatrist|side effect,274,USA,R,30000000,2013,681,7.1,29000,2154410,7.1813666666666665
Stephen J. Anderson,162,63,15,69,Robert Lopez,759,26687172,Adventure,Comedy,Craig Ferguson,Winnie the Pooh ,15600,1002,Huell Howser,0,disney|owl|rabbit|sequel|tiger,55,USA,G,30000000,2011,73,7.3,0,-3312828,-11.04276
Troy Miller,85,85,14,244,Mimi Rogers,577,26096584,Comedy,NA,Elden Henson,Dumb and Dumberer: When Harry Met Lloyd ,30651,1653,Cheri Oteri,0,1980s|buddy|high school|prequel to cult favorite|teenager,267,USA,PG-13,19000000,2003,291,3.4,1000,7096584,37.35044210526316
Warren Beatty,110,108,631,95,Kirk Baltz,631,26525834,Comedy,Romance,Warren Beatty,Bulworth ,21998,1023,Graham Beckel,1,hip hop|liberal|politics|senator|truth,227,USA,R,30000000,1998,199,6.8,0,-3474166,-11.580553333333334
Tate Taylor,165,139,150,400,Josh Hopkins,521,30513940,Biography,Music,Tika Sumpter,Get on Up ,15843,2060,Aunjanue Ellis,0,1970s|1980s|african american|breaking the fourth wall|mother son relationship,104,USA,PG-13,30000000,2014,491,6.9,11000,513940,1.7131333333333332
Carl Franklin,64,127,73,433,William Hurt,11000,23209440,Drama,NA,Meryl Streep,One True Thing ,9283,12785,Tom Everett Scott,3,cancer|job|love|new york|professor,112,USA,R,30000000,1998,882,7,592,-6790560,-22.6352
Brett Leonard,44,106,32,650,Costas Mandylor,18000,24048000,Action,Sci-Fi,Denzel Washington,Virtuosity ,23579,20772,Traci Lords,1,android|ex cop|serial killer|virtual character come to life|virtual reality,88,USA,R,30000000,1995,723,5.5,0,-5952000,-19.84
Ivan Reitman,147,95,425,560,Eddie Izzard,973,22526144,Comedy,Sci-Fi,Rainn Wilson,My Super Ex-Girlfriend ,53884,2737,Wanda Sykes,1,architect|boyfriend girlfriend relationship|superhero|superhero spoof|supernatural power,203,USA,PG-13,30000000,2006,776,5.1,1000,-7473856,-24.912853333333334
Scott Derrickson,242,118,301,897,Dorian Missick,2000,30523568,Horror,Thriller,Olivia Munn,Deliver Us from Evil ,54447,5697,Edgar Ramírez,0,confession|demonic possession|exorcism|flickering light|priest,201,USA,R,30000000,2014,1000,6.2,18000,523568,1.7452266666666667
Alister Grierson,244,108,24,653,Rhys Wakefield,2000,23070045,Adventure,Thriller,Ioan Gruffudd,Sanctum ,47003,3892,Richard Roxburgh,0,cave|expedition|panic|rebreather|underwater,215,USA,R,30000000,2011,942,5.9,11000,-6929955,-23.09985
Nick Hurran,73,105,34,642,Kevin Sussman,1000,20422207,Comedy,Romance,Holly Hunter,Little Black Book ,15052,4369,Dave Annable,1,electronic devices|gynecologist|little black book|plan|set up,116,USA,PG-13,35000000,2004,681,5.2,484,-14577793,-41.65083714285714
Nicholas Stoller,232,131,89,372,Jacki Weaver,2000,28644770,Comedy,NA,Alison Brie,The Five-Year Engagement ,78974,3479,David Paymer,2,kissing while having sex|kitchen|reference to princess diana|wedding band|wedding ring,141,USA,R,30000000,2012,401,6.2,11000,-1355230,-4.517433333333333
Charles Stone III,63,104,30,635,Chris Noth,1000,21800302,Comedy,Romance,Bernie Mac,Mr 3000 ,12164,4462,Paul Sorvino,1,baseball|baseball movie|cartoon on tv|dodge viper|retirement,63,USA,PG-13,30000000,2004,962,5.5,491,-8199698,-27.332326666666667
Paul Haggis,239,133,549,343,Daniel Stern,10000,21129348,Crime,Romance,Olivia Wilde,The Next Three Days ,146364,11799,Aisha Hinds,0,argument|evidence|fingerprints|murder|murder weapon,237,USA,PG-13,35000000,2010,796,7.4,27000,-13870652,-39.63043428571428
Kurt Wimmer,158,94,110,277,Cameron Bright,14000,18500966,Action,Sci-Fi,Milla Jovovich,Ultraviolet ,70341,15271,Nick Chinlund,1,boy|disease|hemophagia|speed|vampire,830,USA,PG-13,30000000,2006,829,4.4,0,-11499034,-38.33011333333333
Jean-François Richet,152,109,25,431,Drea de Matteo,954,19976073,Action,Drama,Brian Dennehy,Assault on Precinct 13 ,65979,3148,Hugh Dillon,1,criminal|mobster|new year's eve|police|sergeant,220,USA,R,20000000,2005,739,6.3,999,-23927,-0.119635
Antoine Fuqua,105,96,845,488,Clifton Collins Jr.,978,18967571,Action,Thriller,Mira Sorvino,The Replacement Killers ,23345,3072,Patrick Kilpatrick,2,forger|hitman|passport|police|replacement,167,USA,R,30000000,1998,968,6.1,629,-11032429,-36.77476333333333
Kevin Hooks,36,105,114,537,Stephen Baldwin,4000,17100000,Action,Crime,Salma Hayek,Fled ,7073,6152,Will Patton,1,disk|floppy disk|mafia|prison|prisoner,29,USA,R,25000000,1996,561,5.3,204,-7900000,-31.6
Ellory Elkayem,181,99,11,762,Doug E. Doug,19000,17266505,Action,Horror,Scarlett Johansson,Eight Legged Freaks ,43764,22554,Riley Smith,1,creature feature|human versus spider|spider|spider feature|woman sheriff,291,USA,PG-13,30000000,2002,953,5.4,0,-12733495,-42.44498333333333
Edward Zwick,219,112,380,2000,Anne Hathaway,15000,32357532,Comedy,Romance,Jake Gyllenhaal,Love & Other Drugs ,143368,31278,Judy Greer,0,female nudity|male objectification|pfizer|viagra|zoloft,215,USA,R,30000000,2010,11000,6.7,24000,2357532,7.85844
Jon Avnet,158,108,50,494,Alicia Witt,14000,16930884,Crime,Mystery,Al Pacino,88 Minutes ,65628,16722,Deborah Kara Unger,1,death|fbi|forensics|murder|serial killer,262,USA,R,30000000,2007,975,5.9,0,-13069116,-43.563720000000004
Niki Caro,155,126,51,874,Charlize Theron,10000,18324242,Drama,NA,Jeremy Renner,North Country ,32815,20563,Sissy Spacek,4,based on true story|innocence|lawsuit|mine|sexual harassment,214,USA,R,35000000,2005,9000,7.3,0,-16675758,-47.645022857142855
Howard Deutch,74,98,41,900,Matthew Perry,13000,16323969,Comedy,Thriller,Bruce Willis,The Whole Ten Yards ,45775,18085,Natasha Henstridge,5,dentist|face slap|flashback|hitman|killing an animal,112,USA,PG-13,40000000,2004,2000,5.5,462,-23676031,-59.1900775
Vincenzo Natali,368,104,165,559,David Hewlett,900,16999046,Drama,Sci-Fi,Sarah Polley,Splice ,79517,2222,Delphine Chanéac,0,dna|experiment|genetics|interspecies sex|scientist,354,Others,R,26000000,2009,686,5.8,12000,-9000954,-34.61905384615385
Willard Huyck,81,110,8,322,Jeffrey Jones,1000,16295774,Action,Comedy,Lea Thompson,Howard the Duck ,33669,3000,Jordan Prentice,1,alien|duck|laser|planet|singer,269,USA,PG,35000000,1986,692,4.6,0,-18704226,-53.440645714285715
Gavin O'Connor,154,130,149,798,Rick Gonzalez,1000,15709385,Crime,Thriller,Jennifer Ehle,Pride and Glory ,53053,5101,Frank Grillo,0,brother in law|corruption|drug dealer|drugs|police,132,USA,R,30000000,2008,807,6.7,0,-14290615,-47.63538333333333
Bruce Hunt,140,93,2,258,Cole Hauser,849,14888028,Adventure,Thriller,Eddie Cibrian,The Cave ,28606,2178,Marcel Iures,0,cave|diver|diving|flare|parasite,262,USA,PG-13,30000000,2005,787,5.1,0,-15111972,-50.373239999999996
Rob Reiner,73,96,0,130,Lobo Sebastian,372,14208384,Comedy,NA,David Paymer,Alex & Emma ,11520,977,Robert Costanzo,2,gambling|novel|stenographer|writer|writer's block,105,USA,PG-13,30000000,2003,206,5.6,625,-15791616,-52.638720000000006
Paul McGuigan,98,114,118,40,Christopher Cousins,489,12831121,Drama,Romance,Jessica Paré,Wicker Park ,44979,679,Mark Camacho,0,flashback|flashback within a flashback|multiple perspectives|obsession|split screen,298,USA,PG-13,30000000,2004,93,7,0,-17168879,-57.22959666666667
Craig Gillespie,358,106,44,133,Reid Ewing,596,18298649,Comedy,NA,Grace Phipps,Fright Night ,85024,1393,Sandra Vergara,1,neighbor|remake|suburb|teenager|vampire,242,USA,R,30000000,2011,343,6.4,23000,-11701351,-39.00450333333333
Terrence Malick,222,150,0,855,Michael Greyeyes,23000,12712093,Biography,History,Christian Bale,The New World ,70771,27829,Wes Studi,0,captain|fort|love|native american|trade,671,USA,PG-13,30000000,2005,909,6.7,0,-17287907,-57.626356666666666
Chris Roberts,85,100,38,362,David Suchet,811,11576087,Action,Sci-Fi,Saffron Burrows,Wing Commander ,14747,2497,Jürgen Prochnow,3,27th century|fighter pilot|orchestral music score|outer space|space opera,338,USA,PG-13,30000000,1999,586,4.1,858,-18423913,-61.41304333333333
Neil Jordan,62,100,277,210,Aidan Quinn,21000,11900000,Drama,Thriller,Robert Downey Jr.,In Dreams ,11003,22006,Paul Guilfoyle,0,dream|mental institution|padded cell|serial killer|suicide attempt,148,USA,R,30000000,1999,767,5.5,654,-18100000,-60.333333333333336
James Wong,130,100,70,99,Texas Battle,473,9353573,Action,Fantasy,Ian Whyte,Dragonball: Evolution ,56451,1100,Randall Duk Kim,0,bad|dragon|grandfather|orb|warrior,524,USA,PG,45000000,2009,315,2.7,0,-35646427,-79.21428222222222
Jee-woon Kim,376,107,419,165,James Burnett,971,12026670,Action,Thriller,Zach Gilford,The Last Stand ,114241,1643,Christiana Leucas,2,deputy|escape|fbi|modern western|sheriff,258,USA,R,45000000,2013,236,6.4,24000,-32973330,-73.27406666666667
Nick Hamm,130,102,6,353,Cameron Bright,22000,14334645,Drama,Sci-Fi,Robert De Niro,Godsend ,22449,23352,Munro Chambers,1,birthday|boy|clone|cloning|doctor,191,USA,PG-13,25000000,2004,829,4.8,387,-10665355,-42.66142
Andy Cadiff,65,101,3,120,Stark Sands,448,12189514,Comedy,NA,Annabella Sciorra,Chasing Liberty ,30092,842,Terence Maynard,0,first daughter|photographer|prague|president|secret service agent,129,USA,PG-13,23000000,2004,143,6.1,0,-10810486,-47.00211304347826
Mike Disa,77,86,6,843,Phil LaMarr,1000,10134754,Animation,Family,Amy Poehler,Hoodwinked Too! Hood vs. Evil ,9682,5393,Cheech Marin,0,3 dimensional|box office flop|critically bashed|red riding hood|wolf,38,USA,PG,30000000,2011,857,4.8,0,-19865246,-66.21748666666667
Lasse Hallström,107,108,529,83,Camryn Manheim,11000,8535575,Drama,NA,Morgan Freeman,An Unfinished Life ,24033,11519,Lynda Boyd,3,abusive boyfriend|bear|car accident|ranch|wyoming,152,USA,PG-13,30000000,2005,329,7,0,-21464425,-71.54808333333334
Terry Gilliam,292,123,0,645,Lily Cole,10000,7689458,Adventure,Mystery,Andrew Garfield,The Imaginarium of Doctor Parnassus ,126307,11769,Verne Troyer,1,birthday|bridge|midget|rescue|sideshow,210,Others,PG-13,40000000,2009,785,6.8,19000,-32310542,-80.776355
Brad Furman,184,88,65,681,John Heard,3000,19316646,Crime,NA,Justin Timberlake,Runner Runner ,52069,5706,David Costabile,3,costa rica|fbi agent|gambling|money|online gambling,95,USA,R,30000000,2013,697,5.6,0,-10683354,-35.61118
Peter Howitt,123,109,29,91,Richard Roundtree,779,10965209,Action,Drama,Tyler Labine,Antitrust ,25558,1297,Ned Bellamy,2,boss|communications|computer|genius|job,221,USA,PG-13,30000000,2001,240,6.1,0,-19034791,-63.449303333333326
